iter	Passed	Remaining
0	141	141071
1	146	73218
2	153	51011
3	160	39892
4	166	33047
5	172	28547
6	176	25030
7	178	22152
8	180	19887
9	182	18082
10	185	16647
11	187	15421
12	189	14376
13	191	13486
14	193	12713
15	196	12063
16	198	11458
17	200	10948
18	203	10486
19	206	10098
20	208	9702
21	210	9346
22	212	9016
23	214	8712
24	216	8462
25	218	8196
26	220	7957
27	222	7719
28	223	7494
29	225	7286
30	226	7090
31	228	6906
32	230	6755
33	232	6605
34	234	6459
35	236	6325
36	237	6187
37	239	6057
38	240	5935
39	242	5819
40	243	5706
41	246	5623
42	248	5523
43	250	5435
44	251	5342
45	253	5254
46	254	5164
47	256	5081
48	257	5001
49	259	4926
50	261	4870
51	263	4796
52	265	4737
53	266	4675
54	268	4614
55	270	4554
56	271	4495
57	273	4438
58	274	4384
59	277	4348
60	279	4301
61	281	4257
62	282	4207
63	284	4158
64	285	4111
65	287	4067
66	289	4026
67	292	4002
68	293	3964
69	295	3930
70	297	3891
71	298	3846
72	300	3810
73	301	3774
74	303	3739
75	304	3705
76	307	3682
77	309	3652
78	311	3627
79	312	3595
80	314	3564
81	315	3534
82	317	3505
83	318	3476
84	320	3450
85	323	3442
86	326	3425
87	328	3399
88	329	3374
89	331	3350
90	332	3324
91	334	3299
92	336	3282
93	338	3265
94	340	3245
95	342	3226
96	344	3208
97	346	3186
98	347	3166
99	349	3146
100	351	3133
101	354	3116
102	356	3100
103	358	3085
104	359	3066
105	361	3047
106	362	3028
107	364	3010
108	365	2991
109	368	2980
110	370	2963
111	371	2949
112	373	2931
113	374	2914
114	376	2897
115	378	2882
116	379	2865
117	381	2850
118	383	2841
119	385	2828
120	387	2814
121	389	2799
122	390	2785
123	392	2771
124	393	2756
125	395	2742
126	398	2736
127	399	2723
128	401	2712
129	403	2699
130	404	2686
131	406	2673
132	408	2660
133	409	2646
134	410	2633
135	413	2625
136	415	2615
137	417	2606
138	418	2594
139	420	2581
140	421	2568
141	423	2556
142	424	2544
143	426	2533
144	428	2528
145	430	2519
146	432	2510
147	434	2500
148	435	2488
149	437	2478
150	438	2466
151	440	2456
152	442	2451
153	444	2443
154	446	2434
155	448	2427
156	450	2417
157	451	2408
158	453	2398
159	455	2389
160	456	2380
161	458	2374
162	460	2365
163	461	2355
164	463	2345
165	465	2336
166	466	2327
167	468	2318
168	469	2309
169	471	2300
170	472	2292
171	474	2283
172	475	2275
173	477	2266
174	478	2257
175	480	2249
176	481	2240
177	483	2232
178	484	2224
179	486	2216
180	487	2207
181	489	2202
182	491	2195
183	493	2188
184	495	2182
185	496	2174
186	498	2168
187	500	2161
188	501	2154
189	503	2147
190	505	2140
191	506	2133
192	508	2125
193	510	2119
194	511	2111
195	513	2104
196	514	2098
197	516	2093
198	518	2087
199	520	2082
200	522	2076
201	523	2069
202	525	2062
203	526	2055
204	528	2049
205	529	2042
206	531	2036
207	533	2031
208	535	2025
209	536	2019
210	538	2012
211	539	2005
212	541	1999
213	542	1994
214	544	1987
215	545	1981
216	547	1975
217	549	1970
218	550	1964
219	552	1959
220	553	1952
221	555	1946
222	556	1940
223	558	1935
224	559	1928
225	561	1922
226	562	1917
227	564	1911
228	566	1905
229	567	1899
230	569	1894
231	570	1889
232	572	1883
233	573	1877
234	575	1872
235	576	1867
236	578	1861
237	579	1856
238	581	1850
239	582	1845
240	584	1840
241	585	1835
242	587	1830
243	588	1824
244	590	1819
245	591	1814
246	593	1808
247	594	1803
248	596	1798
249	597	1793
250	599	1788
251	600	1783
252	601	1776
253	603	1771
254	604	1766
255	606	1761
256	607	1757
257	609	1752
258	610	1747
259	612	1743
260	614	1738
261	615	1733
262	617	1729
263	618	1724
264	620	1720
265	621	1716
266	623	1712
267	625	1707
268	626	1703
269	628	1698
270	629	1694
271	631	1690
272	633	1685
273	634	1682
274	637	1681
275	639	1677
276	641	1674
277	642	1669
278	644	1665
279	646	1661
280	647	1656
281	649	1652
282	650	1648
283	652	1644
284	653	1640
285	655	1636
286	657	1632
287	658	1628
288	660	1625
289	662	1622
290	664	1618
291	666	1615
292	667	1611
293	669	1607
294	671	1604
295	673	1601
296	675	1598
297	677	1595
298	678	1591
299	680	1588
300	682	1584
301	683	1580
302	685	1577
303	687	1573
304	688	1569
305	690	1565
306	691	1561
307	693	1557
308	694	1553
309	696	1550
310	698	1546
311	699	1542
312	701	1538
313	702	1535
314	704	1531
315	705	1527
316	707	1523
317	708	1520
318	710	1516
319	711	1512
320	713	1509
321	714	1504
322	716	1501
323	717	1497
324	719	1493
325	720	1490
326	722	1486
327	723	1483
328	725	1479
329	727	1476
330	728	1472
331	730	1469
332	731	1465
333	733	1462
334	734	1458
335	736	1454
336	737	1451
337	739	1448
338	740	1444
339	742	1441
340	744	1437
341	745	1434
342	747	1431
343	748	1427
344	750	1424
345	751	1420
346	753	1417
347	754	1413
348	755	1410
349	757	1406
350	759	1403
351	760	1400
352	762	1397
353	763	1393
354	765	1390
355	767	1387
356	768	1384
357	770	1381
358	771	1378
359	773	1374
360	774	1371
361	776	1368
362	778	1365
363	779	1362
364	781	1359
365	782	1355
366	784	1352
367	785	1349
368	787	1346
369	788	1343
370	790	1340
371	791	1336
372	793	1333
373	795	1330
374	796	1327
375	797	1324
376	799	1321
377	800	1318
378	802	1315
379	804	1312
380	806	1309
381	807	1306
382	808	1303
383	810	1300
384	812	1297
385	813	1294
386	815	1291
387	816	1288
388	818	1285
389	819	1282
390	821	1279
391	823	1276
392	824	1273
393	825	1270
394	827	1267
395	829	1264
396	830	1262
397	832	1259
398	834	1257
399	836	1254
400	838	1251
401	839	1249
402	841	1246
403	843	1243
404	845	1241
405	847	1239
406	849	1237
407	851	1234
408	852	1232
409	855	1230
410	856	1227
411	857	1224
412	859	1221
413	861	1219
414	863	1217
415	865	1214
416	866	1211
417	868	1209
418	871	1207
419	872	1205
420	874	1202
421	876	1200
422	878	1197
423	879	1195
424	881	1192
425	882	1189
426	885	1188
427	887	1185
428	889	1183
429	891	1181
430	892	1178
431	894	1175
432	895	1173
433	897	1170
434	899	1168
435	901	1166
436	903	1164
437	905	1161
438	907	1159
439	908	1156
440	910	1153
441	911	1150
442	914	1149
443	915	1146
444	917	1144
445	919	1141
446	920	1139
447	922	1136
448	923	1133
449	925	1131
450	927	1128
451	929	1126
452	931	1124
453	933	1122
454	935	1120
455	936	1117
456	938	1115
457	940	1112
458	942	1110
459	944	1108
460	946	1106
461	947	1103
462	950	1101
463	951	1099
464	953	1096
465	955	1094
466	956	1091
467	958	1090
468	960	1087
469	962	1085
470	964	1083
471	966	1080
472	967	1078
473	969	1075
474	970	1073
475	973	1071
476	974	1069
477	976	1066
478	979	1064
479	980	1062
480	982	1059
481	983	1057
482	985	1054
483	987	1052
484	989	1050
485	991	1048
486	993	1046
487	995	1044
488	996	1041
489	998	1039
490	999	1036
491	1001	1033
492	1005	1033
493	1006	1031
494	1009	1029
495	1010	1026
496	1012	1024
497	1013	1021
498	1015	1019
499	1017	1017
500	1019	1015
501	1020	1012
502	1022	1010
503	1024	1008
504	1026	1006
505	1028	1003
506	1030	1001
507	1032	1000
508	1034	998
509	1036	995
510	1038	994
511	1040	991
512	1041	988
513	1043	986
514	1044	983
515	1046	981
516	1048	979
517	1050	977
518	1052	975
519	1054	973
520	1055	970
521	1057	968
522	1058	965
523	1060	963
524	1062	961
525	1065	959
526	1067	957
527	1069	955
528	1070	953
529	1072	950
530	1073	948
531	1075	946
532	1077	943
533	1079	941
534	1081	939
535	1083	937
536	1084	935
537	1086	933
538	1088	930
539	1089	928
540	1091	925
541	1093	923
542	1094	921
543	1096	919
544	1097	916
545	1099	914
546	1101	911
547	1102	909
548	1103	906
549	1105	904
550	1107	902
551	1108	899
552	1110	897
553	1111	895
554	1113	892
555	1114	890
556	1116	887
557	1118	885
558	1119	883
559	1121	880
560	1122	878
561	1124	876
562	1125	873
563	1127	871
564	1128	868
565	1130	866
566	1131	864
567	1133	861
568	1134	859
569	1136	857
570	1138	855
571	1139	852
572	1141	850
573	1142	847
574	1144	845
575	1145	843
576	1147	841
577	1148	838
578	1150	836
579	1152	834
580	1153	832
581	1155	829
582	1156	827
583	1158	825
584	1159	822
585	1161	820
586	1162	817
587	1164	815
588	1165	813
589	1167	811
590	1168	808
591	1170	806
592	1171	804
593	1173	802
594	1174	799
595	1176	797
596	1177	795
597	1179	792
598	1180	790
599	1183	788
600	1184	786
601	1186	784
602	1188	782
603	1189	780
604	1191	778
605	1193	775
606	1194	773
607	1196	771
608	1198	769
609	1200	767
610	1202	765
611	1204	763
612	1205	761
613	1207	759
614	1208	756
615	1210	754
616	1212	752
617	1213	750
618	1215	748
619	1217	746
620	1218	743
621	1220	741
622	1221	739
623	1223	737
624	1224	734
625	1226	732
626	1227	730
627	1229	728
628	1230	725
629	1232	723
630	1233	721
631	1235	719
632	1237	717
633	1238	715
634	1240	712
635	1241	710
636	1243	708
637	1244	706
638	1246	704
639	1247	701
640	1249	699
641	1250	697
642	1252	695
643	1254	693
644	1256	691
645	1257	689
646	1259	686
647	1260	684
648	1262	682
649	1263	680
650	1265	678
651	1267	676
652	1268	673
653	1269	671
654	1271	669
